player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,shots_p90,shots_on_target_p90,goals_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,key_pass_rate_pct_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,duel_success_rate_pct_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct
Bel Escodo,95.02,CDM,36.8,0.0,starter,San Beda,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,5.68,3.79,0.0,0.0,0.0,2.44,1.89,2.84,1.89,63.15,0.0,0.0,0.0,6.63,0.0,0.0,0.0,,,,,,,,,
Cesar Ien Bayubay,78.42,LWB,29.7,0.0,substitute,San Beda,14.0,0.0,0.0,0.0,0.0,0.0,0.0,27.55,24.1,3.44,0.0,0.0,0.0,-12.81,1.15,6.89,4.59,76.52,0.0,0.0,0.0,3.44,2.3,0.0,0.0,,,,,,,,,
Jaro Libarnes,97.35,CB,40.4,0.0,starter,San Beda,28.0,0.0,0.92,0.0,0.0,0.0,0.0,36.98,32.36,4.62,0.92,2.31,0.0,3.5,11.09,7.4,7.4,92.45,0.0,0.0,0.0,10.17,8.32,0.92,0.92,,,,,,,,,
Jaryl Pineda,94.68,LW,21.3,0.0,starter,San Beda,57.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76,19.96,3.8,0.95,3.8,0.0,-6.87,2.85,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.95,0.0,0.95,,,,,,,,,
Jeljel Sison,96.97,CB,38.9,0.0,starter,San Beda,31.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,11.14,0.93,0.0,0.0,0.0,4.0,3.71,2.78,2.78,92.82,0.0,0.0,0.0,0.93,0.0,0.0,0.0,,,,,,,,,
Joselito Soberano Jr.,30.27,LWB,16.0,0.0,substitute,San Beda,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Jul Aningalan,97.1,CB,48.2,0.0,starter,San Beda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.95,22.25,3.71,0.0,0.0,0.0,5.32,7.42,4.63,4.63,92.69,2.78,2.78,92.69,10.2,1.85,0.0,0.0,,,,,,,,,
Kirvy Tabelin,95.2,CAM,49.9,0.0,starter,San Beda,11.0,0.0,1.89,0.95,0.0,47.27,0.0,22.69,17.02,5.67,0.0,0.0,0.0,-5.76,6.62,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,,,,,,,,,
Kurt Bacaycay,10.9,RWB,21.0,0.0,substitute,San Beda,71.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51,8.26,8.26,0.0,0.0,0.0,-93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Laurence Fernandez,94.97,RW,16.9,0.0,starter,San Beda,38.0,0.0,0.95,0.0,0.0,0.0,0.0,11.37,5.69,5.69,0.0,0.0,0.0,3.61,3.79,0.95,0.95,94.77,0.0,0.0,0.0,0.95,0.0,0.0,0.0,,,,,,,,,
Louie Bacnis,94.57,CDM,67.9,0.0,starter,San Beda,34.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,14.28,0.95,0.0,0.0,0.0,-0.34,6.66,7.61,5.71,71.38,0.95,0.95,95.17,10.47,2.86,0.0,0.95,,,,,,,,,
Pedro Tagara,96.72,GK,42.4,0.0,starter,San Beda,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.47,16.75,3.72,0.0,0.0,0.0,-1.27,7.44,0.93,0.93,93.06,0.0,0.0,0.0,5.58,0.93,0.0,0.0,3.72,1.86,5.58,5.58,1.86,3.72,1.86,5.58,0.67
Pius Encaya,96.55,ST,16.7,0.0,starter,San Beda,17.0,0.0,0.93,0.0,0.0,0.0,0.0,10.25,8.39,1.86,0.0,0.0,0.0,-3.13,1.86,1.86,0.93,46.61,0.0,0.0,0.0,0.93,0.0,0.0,0.0,,,,,,,,,
Sam Salingay,95.32,ST,23.0,0.0,starter,San Beda,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.16,13.22,0.94,0.94,6.3,0.0,0.8,3.78,2.83,2.83,94.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Stock Rujiro,30.27,RWB,27.9,0.0,substitute,San Beda,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,5.95,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,,,,,,,,,
Prince MelleNdrez,0.0,RWB,0.0,0.0,DNP,San Beda,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Bacnis,0.0,ST,0.0,0.0,DNP,San Beda,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
